timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel UV Radiation
20220115T1100,-1.4397546,4.8965297,143.97263,10.64
20220115T1200,-0.46975458,4.1046314,127.874985,20.59
20220115T1300,0.7202454,5.6233797,140.19443,28.44
20220115T1400,2.0402455,4.8965297,143.97263,31.8
20220115T1500,3.3102455,3.8268526,138.81407,29.99
20220115T1600,3.5502453,3.319036,139.3987,23.44
20220115T1700,3.7602453,4.6938257,147.52881,13.86
20220115T1800,2.9002452,5.4833565,156.8014,4.39
20220115T1900,-0.24975461,3.396233,147.99461,0
20220115T2000,-0.87975454,4.1046314,142.12502,0
20220115T2100,-1.5597545,4.39436,145.00798,0
20220115T2200,-1.8997546,5.00128,149.74356,0
20220115T2300,-2.0397544,5.315336,151.69923,0
20220116T0000,-2.0497546,3.8939953,146.30994,0
20220116T0100,-2.1797547,4.6938257,147.52881,0
20220116T0200,-2.2897544,4.6800003,157.38013,0
20220116T0300,-2.3097544,4.3349743,175.23636,0
20220116T0400,-2.0197544,4.32,180,0
20220116T0500,-1.8297547,5.4119864,183.81407,0
20220116T0600,-1.8697547,5.4477882,187.59465,0
20220116T0700,-1.9497546,5.937272,194.03624,0
20220116T0800,-2.1097546,6.28713,193.24052,0
20220116T0900,-2.3297548,6.0347,197.35403,0
20220116T1000,-1.9597546,6.379216,196.38954,2.06
20220116T1100,-0.8497546,7.172949,197.52557,9.02
20220116T1200,0.1802454,8.225035,246.8014,19.13
20220116T1300,0.7602454,9.227524,249.44395,29.54
20220116T1400,1.6402454,9.227524,249.44395,31.2
20220116T1500,2.3102455,8.557102,255.37914,30.4
20220116T1600,2.2402453,7.928178,267.39746,23.8
20220116T1700,2.0102453,5.7599998,270,14.04
20220116T1800,0.2402454,7.172949,252.47443,4.46
20220116T1900,-0.52975464,6.4096174,218.15723,0
20220116T2000,-0.3797546,5.3517847,199.65382,0
20220116T2100,0.13024542,7.072878,194.74356,0
20220116T2200,0.19024539,6.638072,192.52881,0
20220116T2300,0.5902454,4.5536795,198.43495,0
20220117T0000,0.6602454,4.8965297,216.02737,0
20220117T0100,0.9302454,4.8433046,221.98721,0
20220117T0200,0.9302454,4.072935,225,0
20220117T0300,0.8602454,4.1046314,217.87498,0
20220117T0400,0.7502454,3.8939953,213.69006,0
20220117T0500,0.4402454,4.3498964,204.44395,0
20220117T0600,0.84024537,5.315336,208.30077,0
20220117T0700,0.77024543,3.7064266,209.05461,0
20220117T0800,0.6802454,3.7064266,209.05461,0
20220117T0900,-0.0697546,5.1919937,213.69006,0
20220117T1000,0.41024542,4.6938257,212.47119,1.19
20220117T1100,1.7202454,3.7064266,209.05461,5.96
20220117T1200,2.6002455,8.161764,221.42366,11.3
20220117T1300,3.7602453,7.9932966,234.16235,14.69
20220117T1400,4.5902452,6.696387,233.74615,10.35
20220117T1500,5.5102453,5.6920996,251.56506,11.33
20220117T1600,5.9102454,6.162207,276.70984,10.83
20220117T1700,5.770245,2.968636,255.96376,7.18
20220117T1800,4.5802455,5.1919937,236.30994,2.55
20220117T1900,4.790245,4.1046314,232.12502,0
20220117T2000,3.6702452,4.2136917,199.98311,0
20220117T2100,3.2502456,3.4152596,198.43495,0
20220117T2200,2.9602456,0.35999998,360,0
20220117T2300,2.3802454,1.1384199,71.56504,0
20220118T0000,2.3202453,3.096837,35.53766,0
20220118T0100,1.3802454,3.0758414,69.443954,0
20220118T0200,1.0402454,3.8773184,68.19859,0
20220118T0300,0.7802454,2.968636,75.96376,0
20220118T0400,0.5602454,3.0758414,69.443954,0
20220118T0500,0.6802454,5.1919937,56.30993,0
20220118T0600,0.64024544,5.1165614,50.7106,0
20220118T0700,0.6902454,5.1165614,50.7106,0
20220118T0800,0.6902454,5.8603754,47.489548,0
20220118T0900,0.89024544,5.904439,37.568573,0
20220118T1000,1.4302454,7.7043357,37.40535,1.73
20220118T1100,2.5702453,9.726664,38.990982,9.62
20220118T1200,3.7902455,7.6367526,44.999985,13.56
20220118T1300,4.6202455,11.885453,54.86579,25.16
20220118T1400,5.630245,11.792404,58.736267,25.46
20220118T1500,5.9302454,11.384198,55.304832,21.14
20220118T1600,6.0602455,11.246759,50.194427,21.47
20220118T1700,5.610245,7.145796,49.085617,13.45
20220118T1800,3.8502455,7.24486,63.43495,4.38
20220118T1900,3.1402454,5.5887027,75.06858,0.01
20220118T2000,2.6002455,5.2416787,74.054596,0
20220118T2100,1.7802454,5.506941,78.69006,0
20220118T2200,1.2102454,4.0249224,100.30484,0
20220118T2300,1.3902454,2.7416782,113.19859,0
20220119T0000,0.9002454,4.6102495,141.34018,0
20220119T0100,0.9302454,6.4096174,128.15723,0
20220119T0200,1.2102454,5.1165614,140.71059,0
20220119T0300,0.5902454,5.00128,149.74356,0
20220119T0400,0.3202454,5.815978,158.1986,0
20220119T0500,-0.029754579,6.0347,162.64597,0
20220119T0600,0.2802454,5.95906,154.98311,0
20220119T0700,0.020245433,5.6920996,161.56505,0
20220119T0800,0.2102454,5.2416787,164.0546,0
20220119T0900,-0.04975462,4.73506,171.25385,0
20220119T1000,-0.1397546,5.3999996,180,2.08
20220119T1100,1.2902454,6.162207,186.70984,10.73
20220119T1200,2.3202453,6.9247384,207.89728,18.94
20220119T1300,2.8302455,10.009036,217.69424,28.38
20220119T1400,3.3102455,10.691453,225,31.95
20220119T1500,3.6002455,12.783802,237.65256,29.55
20220119T1600,3.4302454,13.527572,244.79889,24.34
20220119T1700,3.3702455,11.631956,248.1986,13.12
20220119T1800,3.3502455,10.30883,245.22485,3.45
20220119T1900,3.3502455,10.685391,237.38075,0.02
20220119T2000,3.3102455,11.384198,235.30484,0
20220119T2100,3.0502453,10.1887,237.99463,0
20220119T2200,2.8902454,9.885262,236.88866,0
20220119T2300,2.8502455,9.449572,229.63547,0
20220120T0000,2.6902456,8.217153,208.81079,0
20220120T0100,2.6102452,8.287822,214.38034,0
20220120T0200,2.7502456,7.928177,219.47246,0
20220120T0300,2.5702453,8.14587,225,0
20220120T0400,2.4202454,6.8777895,227.1211,0
20220120T0500,2.1802454,8.587338,213.02386,0
20220120T0600,2.0702453,7.491114,215.21759,0
20220120T0700,2.0602455,7.491114,215.21759,0
20220120T0800,1.9202454,7.9932966,215.83765,0
20220120T0900,1.9602454,7.8954163,223.15239,0
20220120T1000,2.0502453,5.815978,248.1986,0.87
20220120T1100,2.6002455,7.42159,255.96376,5.79
20220120T1200,3.1202455,7.771331,256.6075,10.89
20220120T1300,4.2402453,8.707238,262.875,16.16
20220120T1400,4.860245,10.464797,296.56506,19.89
20220120T1500,5.2002454,10.00256,300.25644,19.02
20220120T1600,5.1202455,10.009036,307.69424,17.18
20220120T1700,4.5702453,6.696387,306.25385,10.43
20220120T1800,3.6302452,4.829907,296.56506,4.36
20220120T1900,3.0302453,6.989936,304.50854,0.04
20220120T2000,2.8502455,6.4096174,308.15723,0
20220120T2100,1.9302454,6.6087217,330.64227,0
20220120T2200,1.6202455,6.638072,347.4712,0
20220120T2300,1.0102454,6.6087217,330.64227,0
20220121T0000,-0.1897546,7.172949,342.47443,0
20220121T0100,-0.1997546,7.342588,348.69006,0
20220121T0200,0.7402454,5.00128,329.7436,0
20220121T0300,1.0102454,2.2768397,288.43497,0
20220121T0400,0.030245423,1.835647,258.69006,0
20220121T0500,0.23024541,1.08,270,0
20220121T0600,0.34024543,3.9763298,5.194412,0
